,Unnamed: 0,Unnamed: 0.1,apex,fqdns,firstseen-pdns,lastseen-pdns,days count-pdns,query count,name servers,ns domain,soa_domains_nos,soa_domain,suspicious_tld,length,entropy,fake_tld,brand,pop_keywords,similar,is_idn,minus,num_subdomains,Label,Number_of_total_Scans,Number_of_Benign_Scans,apex_marked_malicious,domain_marked_malicious,sibling_domain_marked_malicious,Number_of_query_parameters,Positive_count,Response_code,URL_after_redirects,resolution,rlength,url_length,number of days between firstseen and lastseen,Alexa rank (avg),url,mean_urls_per_subdomain,mean_path_depth_per_subdomain,mean_query_parameters_per_subdomain_paths,mean_path_length_per_subdomain_paths,mean_number_of_popular_keywords_per_subdomain_paths,#query_parameters,#dots_in_path,#brands_in_path,#similar_keywords_in_path,#suspicious_keywords_in_path
0,0,0,xorax.info,xorax.info,2013-10-02,2020-01-04,13856,1,1,True,1,True,Y,10,0.3652410164862568,0,0,0,0,N,0,0,Compromised,21.0,0.0,21.0,21.0,0.0,0,5,403,False,37.59.35.161,234,81,1097,728788.0,"364    http://xorax.info/blog/wp-content/uploads/2007...
Name: url, dtype: object",21.0,6.0,0.0,34.52381,0.0,1,1,0,0,0
1,1,1,in.net,l00adbum.h7b4.in.net,2019-08-13,2019-08-13,32,1,2,True,2,None,N,20,0.4730229691428727,0,0,0,1,N,0,2,Compromised,69654.0,7.0,2361.0,0.0,2357.0,0,5,200,False,91.202.63.42,20121,60,3,743018.75,"241    http://l00adbum.h7b4.in.net/
Name: url, dtype: object",11.0,1.0,0.0,1.0,0.0,1,3,0,0,0
2,2,2,gemtown88.com,securelogin.poste.it.gemtown88.com,2019-08-07,2019-08-08,5,1,3,True,1,None,N,34,0.4787457644214028,0,0,0,0,N,0,3,Compromised,5.0,1.0,4.0,0.0,0.0,0,8,403,False,113.11.250.72,122,81,2,788010.0,"448    https://securelogin.poste.it.gemtown88.com/jod...
Name: url, dtype: object",5.0,1.6,0.0,19.6,0.0,1,4,0,0,0
3,3,3,beageagae.com,www.payment-confirmation-account.beageagae.com,2019-07-17,2019-07-19,23,1,1,True,1,None,N,46,0.4933546875965067,0,0,1,0,N,2,2,Attacker-Created,5.0,0.0,5.0,0.0,1.0,0,5,None,False,on,None,82,0,420622.0,"1022    http://www.payment-confirmation-account.beagea...
Name: url, dtype: object",4.0,1.5,0.0,8.5,0.0,1,0,0,0,0
4,4,4,acteltechnologies.com,us-en.face-book-com-2979643306.acteltechnologies.com,2019-08-15,2019-08-16,14,1,4,True,5,None,N,52,0.5455262368132304,1,0,0,0,N,4,2,Compromised,145.0,0.0,144.0,0.0,141.0,0,6,200,False,199.188.204.102,818,82,0,883527.5,"1192    https://us-en.face-book-com-2979643306.actelte...
Name: url, dtype: object",3.0,1.0,0.0,1.0,0.0,1,0,0,0,0
5,5,5,jbmart.in,usaacominetentproofproofingeventactioninitevent.jbmart.in,2019-02-12,2019-02-13,31,1,4,True,3,None,N,57,0.4770592757514903,0,0,0,0,N,0,1,Attacker-Created,4.0,0.0,4.0,0.0,0.0,0,7,None,False,on,None,81,70,408885.0,"598    http://usaacominetentproofproofingeventactioni...
Name: url, dtype: object",4.0,2.0,0.0,17.0,0.0,1,0,0,0,0
6,6,6,gb.net,sightseeingtoronto.gb.net,2018-09-18,2019-09-12,411,2,1,True,1,True,N,25,0.41538428147368495,0,0,0,0,N,0,1,Compromised,1600.0,0.0,903.0,0.0,897.0,0,5,522,False,104.18.34.221,4812,66,332,262925.0,"544    https://sightseeingtoronto.gb.net/
Name: url, dtype: object",6.0,1.0,0.0,3.0,0.0,1,2,0,0,0
7,7,7,flu.cc,teromoke.flu.cc,2018-02-03,2018-09-29,24,2,5,True,2,None,Y,15,0.4216946654421501,0,0,0,0,N,0,1,Attacker-Created,1055.0,0.0,1050.0,0.0,1047.0,0,6,200,True,72.52.179.174,0,55,560,436194.0,"384    http://teromoke.flu.cc/
Name: url, dtype: object",3.0,1.0,0.0,1.0,0.0,1,2,0,0,0
8,8,8,yao.cl,dwhitten.yao.cl,2019-08-06,2019-08-08,10,1,1,True,1,True,N,15,0.4550279987754834,0,0,0,1,N,0,1,Attacker-Created,62.0,0.0,62.0,0.0,54.0,0,9,500,False,51.89.153.79,251,81,3,476362.5,"803    https://dwhitten.yao.cl/www/BBT/hg8oho84hcgp89...
Name: url, dtype: object",8.0,3.0,0.0,27.5,0.0,1,2,0,0,0
9,9,9,okeyoyna.net,okeyoyna.net,2014-11-30,2020-01-04,20926,11,6,True,7,True,N,12,0.36478698228922657,0,0,0,0,N,0,0,Compromised,3.0,0.0,3.0,3.0,0.0,0,6,200,True,104.24.126.86,52836,72,1241,652275.4736842107,"754    http://okeyoyna.net/wp-content/filewords
Name: url, dtype: object",3.0,2.0,0.0,21.0,0.0,1,1,0,0,0
10,10,10,ssf.ly,ssf.ly,2013-06-29,2020-01-04,16552,5,6,True,3,None,N,6,0.2814536489558933,0,0,0,0,N,0,0,Compromised,4.0,1.0,3.0,3.0,0.0,0,5,200,True,192.124.249.114,27477,74,447,354168.66666666674,"698    http://ssf.ly/uploades/send_serial_exe.rar
Name: url, dtype: object",4.0,1.75,0.0,22.0,0.0,1,1,0,0,0
11,11,11,ergo-eg.com,ergo-eg.com,2013-11-22,2020-01-04,52464,1,1,True,1,True,N,11,0.3642471326583483,0,0,0,0,N,1,0,Compromised,3.0,0.0,3.0,3.0,0.0,0,8,404,False,192.185.185.47,11816,81,852,725532.1666666665,"361    http://ergo-eg.com/image_data/button/css/dropb...
Name: url, dtype: object",3.0,5.0,0.0,40.0,0.0,1,1,0,0,0
12,12,12,clicknet.ro,web.clicknet.ro,2010-06-24,2020-01-04,84034,1,1,True,1,None,N,15,0.4383613321088168,1,0,0,1,N,0,1,Compromised,74.0,4.0,70.0,0.0,0.0,0,7,200,False,86.35.15.210,10374,81,215,735891.0,"981    http://web.clicknet.ro/insta_grup/galerie/auto...
Name: url, dtype: object",74.0,5.432432700000001,0.0,50.364864000000004,0.0,1,2,0,0,0
13,13,13,okeyoyna.net,okeyoyna.net,2014-11-30,2020-01-04,20926,11,6,True,7,True,N,12,0.36478698228922657,0,0,0,0,N,0,0,Compromised,3.0,0.0,3.0,3.0,0.0,0,6,200,True,104.24.126.86,52836,72,1241,652275.4736842107,"754    http://okeyoyna.net/wp-content/filewords
Name: url, dtype: object",3.0,2.0,0.0,21.0,0.0,1,1,0,0,0
14,14,14,bayimg.com,bayimg.com,2010-06-24,2020-01-04,519319,3,3,True,1,None,N,10,0.3902410164862569,0,0,0,1,N,0,0,Attacker-Created,62.0,0.0,61.0,61.0,3.0,0,5,200,False,185.109.87.28,2287,66,46,233343.0267857143,"646    http://bayimg.com/tag/blzyujrbvfjh
Name: url, dtype: object",58.0,1.8448275,0.0,12.206897,0.0,1,1,0,0,0
15,15,15,yeniprogram.gen.tr,yeniprogram.gen.tr,2011-04-06,2020-01-04,82398,3,1,True,2,None,N,18,0.4326650230858043,0,0,0,0,N,0,1,Compromised,65.0,2.0,63.0,63.0,20.0,0,5,403,False,94.102.9.6,1233,81,2221,628509.0135135135,"789    http://yeniprogram.gen.tr/download/13422-polen...
Name: url, dtype: object",45.0,1.9555556,0.0,11.911111,0.0,1,2,0,0,1
16,16,16,nnhost.ru,ns3.nnhost.ru,2010-06-24,2020-01-04,4347793,3,2,True,1,None,N,13,0.3783733421203239,0,0,0,0,N,0,1,Compromised,7.0,0.0,7.0,0.0,0.0,0,6,200,False,89.109.35.231,697,81,723,48296.0,"696    http://ns3.nnhost.ru/soft/%C4%D0%CE%C2%C0/s3%2...
Name: url, dtype: object",7.0,3.142857,0.0,33.57143,0.0,1,2,0,0,0
17,17,17,zeelandnet.nl,people.zeelandnet.nl,2010-06-24,2020-01-04,191860,1,1,True,1,True,N,20,0.3832446676779246,1,0,0,0,N,0,1,Compromised,53.0,0.0,12.0,0.0,0.0,0,7,404,True,212.115.192.168,302,77,1823,224525.8152173913,"585    http://people.zeelandnet.nl/caspervs/por1.exe
Name: url, dtype: object",12.0,2.0,0.0,16.75,0.0,1,2,0,0,0
18,18,18,netvisao.pt,clientes.netvisao.pt,2010-06-24,2020-01-04,100482,2,1,True,1,True,N,20,0.4308049217994888,1,0,0,0,N,0,1,Compromised,89.0,0.0,85.0,0.0,0.0,0,9,200,False,213.228.128.12,331,76,313,637208.1666666665,"15    http://clientes.netvisao.pt/gtas/gtavc/files/
Name: url, dtype: object",85.0,3.6235294000000002,0.0,21.4,0.0,1,2,0,0,0
19,19,19,ec-p.ru,ec-p.ru,2013-03-13,2020-01-04,26801,10,7,True,2,None,N,7,0.35091935475549224,0,0,0,0,N,1,0,Compromised,27.0,20.0,7.0,7.0,0.0,0,6,404,False,141.8.194.42,42349,65,64,531150.5,"293    http://ec-p.ru/uiyj/esp/ntlnxebqt
Name: url, dtype: object",27.0,2.7037036,0.0,11.888889,0.0,1,1,0,0,0
20,20,20,glambabes.org,glambabes.org,2014-07-16,2020-01-04,234500,6,1,True,1,True,N,13,0.404862640764492,0,0,0,0,N,0,0,Compromised,117.0,0.0,117.0,117.0,0.0,0,5,200,False,104.24.107.199,51170,73,2,663561.0,"163    http://glambabes.org/category/toys/page/2
Name: url, dtype: object",117.0,1.4957265,0.0,24.0,0.0,1,1,0,0,0
21,21,21,alnadawi.com,alnadawi.com,2014-08-24,2020-01-04,49958,4,2,True,2,None,N,12,0.3985902367169199,0,0,0,0,N,0,0,Compromised,24.0,0.0,22.0,22.0,2.0,0,6,200,False,178.63.18.207,177961,67,372,396778.33333333326,"372    http://alnadawi.com/vb/forum/c2/z15
Name: url, dtype: object",20.0,4.0,0.0,24.1,0.0,1,1,0,0,0
